;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48
24;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.000494;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001;0.0004270000000000001
25;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000494;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426
26;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000526;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447;0.000447
27;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.000543;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997;0.00045799999999999997
28;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.0005250000000000001;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443
29;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000526;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441
30;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000527;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439;0.000439
31;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000523;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433
32;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000548;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446;0.000446
33;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.0005510000000000001;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444
